Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area,Index
2 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",48.8 Lac,48.8 Lac,Salt Lake Kolkata,561 sqft,Ready to Move,2 out of 3,Resale,Furnished,South-West,Club,Royal Enclave Residency,2.0,0.0,,Leasehold,694 sqft,,,11
2 BHK Flat for Sale in Sector 62 Noida,"Spacious property with modern amenities, close to schools and markets.",1.62 Cr,1.62 Cr,Sector 62 Noida,192 sqm,Under Construction,Ground out of 2,New Property,Furnished,,Garden/Park,Palm Grove Residency,1.0,2.0,,Freehold,2257 sqft,,,12
3 BHK Flat for Sale in Miyapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.33 Cr,1.33 Cr,Miyapur Hyderabad,1176 sqft,Under Construction,1 out of 1,New Property,Semi-Furnished,,Main Road,Silver Oak Residency,1.0,3.0,,Leasehold,1405 sqft,,,13
1 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",91.6 Lac,91.6 Lac,HSR Layout Bangalore,79 sqm,Under Construction,2 out of 18,Resale,Unfurnished,South,Pool,,,3.0,0.0,Power Of Attorney,1013 sqft,,,14
1 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",81.9 Lac,81.9 Lac,Salt Lake Kolkata,81 sqm,Under Construction,12 out of 19,Resale,Unfurnished,West,Pool,Maple Residency,4.0,3.0,,Freehold,1032 sqft,,,15
1 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",1.54 Cr,1.54 Cr,Wakad Pune,246 sqm,Ready to Move,2 out of 8,Resale,Furnished,South,Garden/Park,Maple Residency,4.0,0.0,,Freehold,3179 sqft,,,16
4 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",1.4 Cr,1.4 Cr,Wakad Pune,1436 sqft,Ready to Move,16 out of 18,New Property,Furnished,North-East,Pool,,,3.0,1.0,Leasehold,1649 sqft,,,17
3 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.02 Cr,1.02 Cr,New Town Kolkata,644 sqft,Under Construction,18 out of 21,Resale,Semi-Furnished,North-East,Club,,3.0,2.0,0.0,Freehold,684 sqft,,,18
3 BHK Flat for Sale in Miyapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",22.7 Lac,22.7 Lac,Miyapur Hyderabad,250 sqft,Ready to Move,5 out of 11,Resale,Furnished,South,Main Road,Palm Grove Residency,4.0,0.0,0.0,Co-operative Society,302 sqft,,,19
1 BHK Flat for Sale in Kondapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",2.09 Cr,2.09 Cr,Kondapur Hyderabad,2066 sqft,Under Construction,4 out of 5,New Property,Furnished,North-East,Club,Maple Residency,4.0,1.0,2.0,Power Of Attorney,2446 sqft,,,20
4 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.75 Cr,1.75 Cr,Rajarhat Kolkata,196 sqm,Under Construction,4 out of 5,New Property,Furnished,South-West,Pool,Green Valley Residency,1.0,3.0,,Freehold,2710 sqft,,,21
4 BHK Flat for Sale in Whitefield Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.97 Cr,1.97 Cr,Whitefield Bangalore,1504 sqft,Ready to Move,6 out of 13,Resale,Furnished,South,Club,,3.0,3.0,2.0,Leasehold,1776 sqft,,,22
3 BHK Flat for Sale in Thane West Mumbai,"Spacious property with modern amenities, close to schools and markets.",91.7 Lac,91.7 Lac,Thane West Mumbai,1316 sqft,Ready to Move,1 out of 8,New Property,Unfurnished,West,Pool,,2.0,2.0,1.0,Power Of Attorney,1471 sqft,,,23
3 BHK Flat for Sale in Whitefield Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.67 Cr,1.67 Cr,Whitefield Bangalore,1864 sqft,Ready to Move,14 out of 22,New Property,Semi-Furnished,South-West,,Orchid Residency,2.0,1.0,,Leasehold,2401 sqft,,,24
1 BHK Flat for Sale in Sector 62 Noida,"Spacious property with modern amenities, close to schools and markets.",1.65 Cr,1.65 Cr,Sector 62 Noida,1462 sqft,Under Construction,5 out of 17,New Property,Semi-Furnished,North-East,Garden/Park,,,0.0,,Power Of Attorney,1576 sqft,,,25
4 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",1.13 Cr,1.13 Cr,Dwarka Delhi,121 sqm,Ready to Move,Ground out of 1,New Property,Unfurnished,West,Garden/Park,,1.0,3.0,0.0,Power Of Attorney,1659 sqft,,,26
4 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",1.58 Cr,1.58 Cr,Wakad Pune,173 sqm,Under Construction,10 out of 13,New Property,Furnished,East,Main Road,Silver Oak Residency,3.0,2.0,1.0,Co-operative Society,2051 sqft,,,27
3 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",60.0 Lac,60.0 Lac,HSR Layout Bangalore,63 sqm,Under Construction,Ground out of 9,New Property,Semi-Furnished,,Pool,Orchid Residency,1.0,1.0,0.0,Freehold,864 sqft,,,28
4 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",2.11 Cr,2.11 Cr,Vaishali Ghaziabad,1734 sqft,Ready to Move,7 out of 17,New Property,Furnished,North-East,Pool,,3.0,1.0,1.0,Co-operative Society,2228 sqft,,,29
3 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",25.3 Lac,25.3 Lac,Gachibowli Hyderabad,405 sqft,Under Construction,6 out of 12,Resale,Semi-Furnished,North-East,Club,,2.0,1.0,1.0,Leasehold,,,,30
1 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",93.7 Lac,93.7 Lac,Gachibowli Hyderabad,1203 sqft,Ready to Move,4 out of 4,Resale,Unfurnished,North,Pool,Green Valley Residency,2.0,2.0,,Freehold,1418 sqft,,,31
3 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",1.01 Cr,1.01 Cr,Wakad Pune,1057 sqft,Ready to Move,Ground out of 22,New Property,Semi-Furnished,North-East,Garden/Park,Maple Residency,1.0,0.0,2.0,Leasehold,1155 sqft,,,32
3 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",90.3 Lac,90.3 Lac,Vaishali Ghaziabad,920 sqft,Ready to Move,Ground out of 9,New Property,Unfurnished,,,,4.0,3.0,2.0,Co-operative Society,1129 sqft,,,33
4 BHK Flat for Sale in Kondapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.41 Cr,1.41 Cr,Kondapur Hyderabad,1902 sqft,Ready to Move,6 out of 12,Resale,Furnished,West,Main Road,Palm Grove Residency,1.0,0.0,1.0,Leasehold,2035 sqft,,,34
4 BHK Flat for Sale in Sector 62 Noida,"Spacious property with modern amenities, close to schools and markets.",22.2 Lac,22.2 Lac,Sector 62 Noida,357 sqft,Ready to Move,16 out of 20,Resale,Unfurnished,North,Pool,Maple Residency,1.0,1.0,2.0,Power Of Attorney,431 sqft,,,35
2 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",94.6 Lac,94.6 Lac,Vaishali Ghaziabad,823 sqft,Ready to Move,1 out of 13,New Property,Semi-Furnished,North,Garden/Park,Sunrise Residency,4.0,3.0,1.0,Freehold,934 sqft,,,36
3 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",64.0 Lac,64.0 Lac,Vaishali Ghaziabad,44 sqm,Under Construction,18 out of 18,Resale,Unfurnished,West,,,2.0,2.0,2.0,Power Of Attorney,533 sqft,,,37
1 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",81.4 Lac,81.4 Lac,HSR Layout Bangalore,612 sqft,Ready to Move,1 out of 4,New Property,Furnished,South,Club,,3.0,0.0,,Leasehold,742 sqft,,,38
4 BHK Flat for Sale in Indiranagar Bangalore,"Spacious property with modern amenities, close to schools and markets.",2.21 Cr,2.21 Cr,Indiranagar Bangalore,1458 sqft,Ready to Move,7 out of 7,New Property,Furnished,,Club,,4.0,2.0,,Co-operative Society,1562 sqft,,,39
4 BHK Flat for Sale in Thane West Mumbai,"Spacious property with modern amenities, close to schools and markets.",Call for Price,Call for Price,Thane West Mumbai,145 sqm,Ready to Move,Ground out of 11,Resale,Unfurnished,North-East,Club,Sunrise Residency,3.0,0.0,,Freehold,1726 sqft,,,40
2 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",49.6 Lac,49.6 Lac,Sector 137 Noida,997 sqft,Under Construction,4 out of 21,Resale,Unfurnished,North-East,Main Road,,4.0,2.0,,Leasehold,1146 sqft,,,41
3 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",39.7 Lac,39.7 Lac,Gachibowli Hyderabad,565 sqft,Ready to Move,1 out of 9,New Property,Semi-Furnished,,Club,,4.0,0.0,1.0,Leasehold,648 sqft,,,42
3 BHK Flat for Sale in Miyapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",73.9 Lac,73.9 Lac,Miyapur Hyderabad,749 sqft,Under Construction,20 out of 22,New Property,Furnished,South-West,Main Road,Lake View Residency,4.0,2.0,1.0,Leasehold,954 sqft,,,43
2 BHK Flat for Sale in Sector 62 Noida,"Spacious property with modern amenities, close to schools and markets.",1.44 Cr,1.44 Cr,Sector 62 Noida,1410 sqft,Under Construction,23 out of 23,New Property,Furnished,West,Pool,Lake View Residency,2.0,3.0,1.0,Freehold,1757 sqft,,,44
4 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",52.5 Lac,52.5 Lac,Sector 137 Noida,100 sqm,Ready to Move,Ground out of 2,New Property,Furnished,South-West,Garden/Park,,3.0,1.0,0.0,Leasehold,1389 sqft,,,45
1 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",1.18 Cr,1.18 Cr,Vaishali Ghaziabad,1479 sqft,Ready to Move,9 out of 10,New Property,Semi-Furnished,South,Club,Orchid Residency,1.0,1.0,0.0,Power Of Attorney,,,,46
3 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",60.5 Lac,60.5 Lac,Kharadi Pune,452 sqft,Ready to Move,Ground out of 12,New Property,Furnished,East,,Silver Oak Residency,1.0,,,Freehold,500 sqft,,,47
4 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",24.3 Lac,24.3 Lac,Gachibowli Hyderabad,23 sqm,Under Construction,Ground out of 12,Resale,Unfurnished,North,Main Road,Sunrise Residency,1.0,2.0,,Power Of Attorney,298 sqft,,,48
4 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",2.03 Cr,2.03 Cr,New Town Kolkata,1768 sqft,Ready to Move,1 out of 8,Resale,Semi-Furnished,North,Garden/Park,,4.0,0.0,2.0,Freehold,1997 sqft,,,49
2 BHK Flat for Sale in Indiranagar Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.77 Cr,1.77 Cr,Indiranagar Bangalore,1880 sqft,Ready to Move,12 out of 17,Resale,Furnished,South,,,3.0,3.0,0.0,Co-operative Society,2253 sqft,,,50
1 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",Call for Price,Call for Price,Andheri West Mumbai,1099 sqft,Under Construction,1 out of 4,New Property,Furnished,South-West,,,4.0,1.0,1.0,Leasehold,,,,51
2 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.6 Cr,1.6 Cr,HSR Layout Bangalore,1390 sqft,Under Construction,2 out of 4,New Property,Semi-Furnished,,Garden/Park,,2.0,2.0,,Power Of Attorney,1656 sqft,,,52
3 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",79.0 Lac,79.0 Lac,Dwarka Delhi,59 sqm,Ready to Move,1 out of 6,New Property,Semi-Furnished,East,Club,,1.0,3.0,,Co-operative Society,693 sqft,,,53
4 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",82.5 Lac,82.5 Lac,Vaishali Ghaziabad,1010 sqft,Under Construction,8 out of 11,Resale,Unfurnished,North-East,Main Road,,1.0,0.0,1.0,Leasehold,,,,54
1 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.18 Cr,1.18 Cr,Powai Mumbai,1684 sqft,Ready to Move,3 out of 9,New Property,Unfurnished,South-West,Main Road,Palm Grove Residency,2.0,1.0,1.0,Freehold,1966 sqft,,,55
3 BHK Flat for Sale in Indiranagar Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.96 Cr,1.96 Cr,Indiranagar Bangalore,150 sqm,Ready to Move,Ground out of 4,Resale,Furnished,West,Main Road,Silver Oak Residency,2.0,1.0,1.0,Leasehold,1907 sqft,,,56
3 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",1.23 Cr,1.23 Cr,Sector 137 Noida,1674 sqft,Under Construction,7 out of 23,New Property,Semi-Furnished,South,Garden/Park,Silver Oak Residency,4.0,1.0,0.0,Leasehold,,,,57
1 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",57.9 Lac,57.9 Lac,Powai Mumbai,769 sqft,Under Construction,1 out of 1,Resale,Furnished,North,Main Road,Palm Grove Residency,3.0,0.0,2.0,Power Of Attorney,879 sqft,,,58
1 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",69.9 Lac,69.9 Lac,Andheri West Mumbai,889 sqft,Under Construction,7 out of 13,New Property,Unfurnished,East,Club,Lake View Residency,2.0,2.0,1.0,Co-operative Society,1123 sqft,,,59
1 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",78.4 Lac,78.4 Lac,Powai Mumbai,101 sqm,Ready to Move,20 out of 21,Resale,Furnished,North,Garden/Park,Palm Grove Residency,3.0,0.0,1.0,Power Of Attorney,1172 sqft,,,60
3 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.26 Cr,1.26 Cr,Andheri West Mumbai,1345 sqft,Ready to Move,15 out of 20,Resale,Furnished,,Main Road,Green Valley Residency,2.0,0.0,,Power Of Attorney,1475 sqft,,,61
4 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.32 Cr,1.32 Cr,Rajarhat Kolkata,2008 sqft,Ready to Move,14 out of 14,New Property,Furnished,South-West,Club,Orchid Residency,4.0,3.0,0.0,Leasehold,2329 sqft,,,62
3 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",1.67 Cr,1.67 Cr,Vaishali Ghaziabad,1752 sqft,Ready to Move,4 out of 13,Resale,Semi-Furnished,North,,,3.0,2.0,,Co-operative Society,2103 sqft,,,63
2 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",1.34 Cr,1.34 Cr,Sector 137 Noida,1635 sqft,Ready to Move,12 out of 22,New Property,Semi-Furnished,North,Main Road,,3.0,1.0,1.0,Leasehold,1867 sqft,,,64
4 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",1.43 Cr,1.43 Cr,Wakad Pune,1535 sqft,Under Construction,4 out of 20,New Property,Furnished,,Main Road,,1.0,3.0,1.0,Freehold,,,,65
3 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.88 Cr,1.88 Cr,New Town Kolkata,1405 sqft,Ready to Move,4 out of 18,New Property,Unfurnished,South,Garden/Park,Maple Residency,4.0,2.0,2.0,Leasehold,1722 sqft,,,66
4 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.35 Cr,1.35 Cr,Powai Mumbai,1603 sqft,Under Construction,7 out of 11,New Property,Unfurnished,,,Green Valley Residency,2.0,2.0,1.0,Co-operative Society,1812 sqft,,,67
2 BHK Flat for Sale in Whitefield Bangalore,"Spacious property with modern amenities, close to schools and markets.",58.6 Lac,58.6 Lac,Whitefield Bangalore,48 sqm,Under Construction,7 out of 12,Resale,Furnished,North,Garden/Park,Green Valley Residency,2.0,1.0,1.0,Leasehold,619 sqft,,,68
2 BHK Flat for Sale in Baner Pune,"Spacious property with modern amenities, close to schools and markets.",1.33 Cr,1.33 Cr,Baner Pune,102 sqm,Under Construction,3 out of 23,Resale,Furnished,,Garden/Park,,1.0,1.0,0.0,Power Of Attorney,1264 sqft,,,69
1 BHK Flat for Sale in Baner Pune,"Spacious property with modern amenities, close to schools and markets.",72.7 Lac,72.7 Lac,Baner Pune,501 sqft,Under Construction,3 out of 6,New Property,Semi-Furnished,East,Garden/Park,,3.0,2.0,1.0,Co-operative Society,548 sqft,,,70
1 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.85 Cr,1.85 Cr,Salt Lake Kolkata,140 sqm,Under Construction,14 out of 17,Resale,Unfurnished,West,Pool,Sunrise Residency,2.0,1.0,2.0,Power Of Attorney,1836 sqft,,,71
3 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.49 Cr,1.49 Cr,New Town Kolkata,1019 sqft,Under Construction,1 out of 3,New Property,Furnished,East,Garden/Park,Green Valley Residency,1.0,0.0,0.0,Power Of Attorney,,,,72
2 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",2.86 Cr,2.86 Cr,Dwarka Delhi,1891 sqft,Ready to Move,3 out of 5,Resale,Furnished,North-East,Club,,4.0,1.0,2.0,Freehold,2334 sqft,,,73
4 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.23 Cr,1.23 Cr,Gachibowli Hyderabad,1715 sqft,Under Construction,2 out of 5,New Property,Furnished,North-East,Main Road,Orchid Residency,1.0,3.0,2.0,Co-operative Society,2226 sqft,,,74
2 BHK Flat for Sale in Sector 62 Noida,"Spacious property with modern amenities, close to schools and markets.",69.3 Lac,69.3 Lac,Sector 62 Noida,770 sqft,Under Construction,14 out of 23,New Property,Unfurnished,North,Pool,Palm Grove Residency,3.0,2.0,0.0,Leasehold,,,,75
1 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.4 Cr,1.4 Cr,Gachibowli Hyderabad,1627 sqft,Ready to Move,14 out of 15,Resale,Semi-Furnished,South-West,,Orchid Residency,2.0,0.0,1.0,Freehold,,,,76
2 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",69.7 Lac,69.7 Lac,Dwarka Delhi,68 sqm,Ready to Move,2 out of 13,New Property,Furnished,South,Main Road,Lake View Residency,1.0,0.0,1.0,Leasehold,792 sqft,,,77
3 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",82.0 Lac,82.0 Lac,Wakad Pune,78 sqm,Under Construction,1 out of 10,New Property,Unfurnished,South,Garden/Park,Palm Grove Residency,4.0,1.0,2.0,Leasehold,908 sqft,,,78
2 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.3 Cr,1.3 Cr,Andheri West Mumbai,138 sqm,Ready to Move,7 out of 7,Resale,Furnished,West,Garden/Park,,3.0,2.0,1.0,Freehold,1920 sqft,,,79
2 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",1.13 Cr,1.13 Cr,Kharadi Pune,935 sqft,Ready to Move,7 out of 18,New Property,Semi-Furnished,North,Pool,Royal Enclave Residency,2.0,3.0,,Leasehold,1129 sqft,,,80
1 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",90.5 Lac,90.5 Lac,HSR Layout Bangalore,959 sqft,Under Construction,15 out of 19,New Property,Unfurnished,,Garden/Park,,1.0,3.0,1.0,Power Of Attorney,1100 sqft,,,81
2 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.86 Cr,1.86 Cr,New Town Kolkata,113 sqm,Ready to Move,7 out of 9,Resale,Unfurnished,,Main Road,,3.0,0.0,0.0,Power Of Attorney,1478 sqft,,,82
4 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.18 Cr,1.18 Cr,Andheri West Mumbai,980 sqft,Under Construction,2 out of 2,Resale,Semi-Furnished,East,Garden/Park,Royal Enclave Residency,2.0,0.0,,Power Of Attorney,1151 sqft,,,83
3 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",67.7 Lac,67.7 Lac,Rajarhat Kolkata,702 sqft,Under Construction,18 out of 22,New Property,Furnished,,Pool,Maple Residency,4.0,0.0,0.0,Leasehold,802 sqft,,,84
1 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",68.6 Lac,68.6 Lac,Rajarhat Kolkata,1189 sqft,Ready to Move,5 out of 23,Resale,Unfurnished,West,Pool,Sunrise Residency,3.0,,1.0,Power Of Attorney,1260 sqft,,,85
1 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",4.77 Cr,4.77 Cr,Kharadi Pune,2555 sqft,Under Construction,3 out of 5,Resale,Furnished,South,,Royal Enclave Residency,3.0,1.0,0.0,Freehold,2957 sqft,,,86
1 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.77 Cr,1.77 Cr,New Town Kolkata,1561 sqft,Under Construction,12 out of 21,New Property,Furnished,South-West,Garden/Park,Maple Residency,1.0,,,Leasehold,1700 sqft,,,87
4 BHK Flat for Sale in Kondapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",2.01 Cr,2.01 Cr,Kondapur Hyderabad,1680 sqft,Under Construction,2 out of 16,New Property,Unfurnished,South,Club,,4.0,1.0,,Leasehold,2174 sqft,,,88
4 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.35 Cr,1.35 Cr,Salt Lake Kolkata,116 sqm,Ready to Move,5 out of 5,New Property,Unfurnished,South-West,Main Road,Royal Enclave Residency,2.0,2.0,1.0,Co-operative Society,1334 sqft,,,89
3 BHK Flat for Sale in Sector 62 Noida,"Spacious property with modern amenities, close to schools and markets.",97.0 Lac,97.0 Lac,Sector 62 Noida,96 sqm,Under Construction,9 out of 9,Resale,Semi-Furnished,North-East,,,1.0,,1.0,Power Of Attorney,1106 sqft,,,90
1 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",1.9 Cr,1.9 Cr,Dwarka Delhi,1698 sqft,Ready to Move,2 out of 11,Resale,Furnished,South-West,Club,,1.0,0.0,1.0,Freehold,1943 sqft,,,91
3 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",29.2 Lac,29.2 Lac,Wakad Pune,382 sqft,Under Construction,1 out of 3,New Property,Furnished,South-West,Club,,1.0,1.0,,Freehold,450 sqft,,,92
2 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",1.27 Cr,1.27 Cr,Dwarka Delhi,84 sqm,Ready to Move,9 out of 22,New Property,Semi-Furnished,South-West,Club,,4.0,2.0,2.0,Power Of Attorney,1134 sqft,,,93
1 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",74.4 Lac,74.4 Lac,Rajarhat Kolkata,1220 sqft,Under Construction,1 out of 9,Resale,Furnished,South,Garden/Park,Silver Oak Residency,4.0,2.0,2.0,Power Of Attorney,1421 sqft,,,94
1 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.39 Cr,1.39 Cr,Powai Mumbai,1482 sqft,Ready to Move,7 out of 19,New Property,Furnished,North-East,Pool,,2.0,3.0,0.0,Co-operative Society,1837 sqft,,,95
